month,year,component,question number,topic,text
w,2020,22,1,1 The particulate nature of matter,The formula of methane is CH4 and the formula of ethane is C2H6. Which row describes diffusion and the relative rates of diffusion of methane and ethane? description of diffusion relative rate of diffusion A particles move from a high concentration to a low concentration ethane diffuses more quickly than methane B particles move from a high concentration to a low concentration methane diffuses more quickly than ethane C particles move from a low concentration to a high concentration ethane diffuses more quickly than methane D particles move from a low concentration to a high concentration methane diffuses more quickly than e
w,2020,22,2,2 Experimental techniques,Which test is used to show that a sample of water is pure? Evaporate the water to see if any solids remain. B Heat the water to check its boiling point. C Test with anhydrous cobalt(II) chloride. D Use universal indicator paper to check its pH.
w,2020,22,3,2 Experimental techniques,Chromatography is used to separate and identify the components in both coloured and colourless mixtures. For colourless mixtures the chromatogram has to be treated with another chemical. What is the name of this type of chemical? colouring agent B display agent C finding agent D locating agent
w,2020,22,4,2 Experimental techniques,Lithium reacts with fluorine to form the compound lithium fluoride. Which statement about this reaction is correct? Each fluorine atom gains one electron. B Each fluorine atom gains two or more electrons. C Each fluorine atom loses one electron. D Each fluorine atom loses two or more electrons
w,2020,22,5,"3 Atoms, elements and compounds","14
6 and C12
6 are isotopes of carbon.
Which statement about these isotopes is correct? 12 6 is more reactive than C14 6 because the atoms have less mass. B C12 6 is more reactive than C14 6 because the atoms have different numbers of neutrons. C The reactions of C12 6 are similar to C14 6 because they have the same number of outer shell electrons. D The reactions of C12 6 are similar to C14 6 because they have the same number of protons in the nucleus."
w,2020,22,6,"3 Atoms, elements and compounds","The molecular structure of hydrazine, N2H4, is shown.  Which description of the bonding in hydrazine is not correct?  Each nitrogen atom has a non-bonding pair of electrons. B Each nitrogen atom has four bonding pairs of electrons. C Each nitrogen atom shares one of its electrons with a nitrogen atom. D Each nitrogen atom shares two of its electrons with hydrogen atoms."
w,2020,22,7,"3 Atoms, elements and compounds","Solid X has a high boiling point.
Its structure has positive ions surrounded by a sea of electrons.
Which other properties does solid X have? brittle and an electrical conductor B brittle and an insulator C malleable and an electrical conductor D malleable and an insulator"
w,2020,22,8,"3 Atoms, elements and compounds",The formulae of some ions are shown. positive ions negative ions Al 3+ Cl – Fe2+ N3– Mg2+ NO3 – Na+ O2– Zn2+ SO4 2– In which row is the formula not correct? compound formula A aluminium oxide Al 2O3 B iron(II) nitride Fe2N3 C sodium sulfate Na2SO4 D zinc nitrate Zn(NO3)2
w,2020,22,9,"3 Atoms, elements and compounds",The equation for the decomposition of magnesium nitrate is shown. 2Mg(NO3)2(s) → 2MgO(s) + 4NO2(g) + O2(g) Which volume of gas is produced when 0.1 moles of magnesium nitrate is decomposed completely? 1.2 dm3 B 4.8 dm3 C 6.0 dm3 D 8.4 dm3
w,2020,22,10,"3 Atoms, elements and compounds",Which statements about the electrolysis of molten lead(II) bromide are correct? 1 Lead ions move to the anode and are oxidised. 2 Lead ions move to the cathode and are reduced. 3 Bromide ions move to the anode and are oxidised. 4 Bromide ions move to the cathode and are reduced. 2 and 3 
w,2020,22,11,4 Stoichiometry,Aqueous copper(II) sulfate is electrolysed using carbon electrodes. Which statement is correct? Bubbles of hydrogen are formed at the anode. B Bubbles of oxygen gas are formed at the cathode. C Copper is deposited at the anode. D The blue colour of the solution fades
w,2020,22,12,4 Stoichiometry,"Nitrogen trifluoride, NF3, is used in the manufacture of certain types of solar panels. The equation
for the formation of nitrogen trifluoride is shown.
N2 + 3F2 → 2NF3
type of bond bond energy (kJ mol–1)
N≡N +950
F–F +150
N–F +280
Using the table of bond energies, what is the energy change for this reaction?  –560 kJ mol–1 B –280 kJ mol–1 C +280 kJ mol–1 D +3080 kJ mol"
w,2020,22,13,4 Stoichiometry,Which statements about hydrogen fuel cells are correct? 1 The reaction between hydrogen and oxygen is endothermic. 2 The waste product in a hydrogen fuel cell is water. 3 A chemical reaction in the cell produces hydrogen which is used as the fuel. 4 A hydrogen fuel cell is used to generate electricity. 2 and 4
w,2020,22,14,5 Electricity and chemistry,"Which change is a physical change? A Copper(II) carbonate changes colour from green to black when it is heated, and stays black when it cools. B Ethanol reacts with oxygen to form carbon dioxide and water. C Hydrogen peroxide decomposes into water and oxygen when it is boiled. D Ice forms liquid water when it is heated."
w,2020,22,15,6 Chemical energetics,"A student adds excess magnesium ribbon to 10 cm3
 of 0.5 mol / dm3
 sulfuric acid.
The hydrogen gas is collected and its volume measured every 10 seconds.
The experiment is repeated using the same mass of magnesium ribbon with 5cm3
 of 0.5mol / dm3
sulfuric acid added to 5 cm3
 of water.
Which graph shows the results of the second experiment?  volume of hydrogen / cm3 A B C D original experiment time/seconds"
w,2020,22,17,6 Chemical energetics,In which reaction is the underlined compound acting as a reducing agent?  CO2 + C → 2CO B 2CuO + C → 2Cu + CO2 C Fe2O3 + 3CO → 2Fe + 3CO2 D CaCO3 + 2HCl → CaCl 2 + H2O + CO2
w,2020,22,18,7 Chemical reactions,"X, Y and Z are oxides of elements in the same row of the Periodic Table.
Some information about each oxide is shown.
oxide solubility
in water
ability to
neutralise
an acid
ability to
neutralise
an alkali
X soluble   key
Y insoluble   = able
Z slightly soluble   = not able  acidic amphoteric basic B amphoteric basic basic C basic amphoteric acidic D basic acidic amphoteric"
w,2020,22,19,7 Chemical reactions,Four different acids are dissolved in water. Which beaker contains the most concentrated strong acid solution? Z– Z– Z– Z– Z– Z– Y– Y– X– C H+ H+ H+ H+ W– W– W– W
w,2020,22,20,7 Chemical reactions,
w,2020,22,21,7 Chemical reactions,"Salt S is dissolved in water and three tests are carried out on the solution. test result 1 aqueous sodium hydroxide is added green precipitate formed, insoluble in excess sodium hydroxide 2 dilute nitric acid is added no reaction 3 aqueous barium nitrate is added to the acidified solution from test 2 white precipitate formed What is the identity of S? ron(II) sulfatecopper(II) chloride
B copper(II) sulfate
C iron(II) chloride
D iron(II) sulfate "
w,2020,22,22,"8 Acids, bases and salts",Which statement about the Periodic Table is correct? Most metallic elements are on the left. B Elements in the same period have the same number of outer electrons. C Elements on the left are usually gases. D The relative atomic mass of the elements increases from right to left.
w,2020,22,23,"8 Acids, bases and salts","The diagram shows elements W, X, Y and Z in a section of the Periodic Table. X Y Z W Which statement about the reactivity of the elements is correct? X is more reactive than Y, and W is more reactive than Z. B X is more reactive than Y, and Z is more reactive than W. C Y is more reactive than X, and W is more reactive than Z. D Y is more reactive than X, and Z is more reactive than W."
w,2020,22,24,7 Chemical reactions,
w,2020,22,25,9 The Periodic Table,"Sodium is a Group I metal. Which property, that is typical of most metals, is not shown by sodium? conductor of heat B high melting point C malleable D shiny"
w,2020,22,26,9 The Periodic Table,"Four metals, iron, copper, magnesium and Y, are heated separately with their oxides. The results are shown. metal magnesium oxide Y oxide copper oxide iron oxide Y     key magnesium     = reacts copper     = no reaction iron     What is the order of reactivity of the metals, least reactive first? least reactive most reactive A copper iron Y magnesium B copper Y iron magnesium C magnesium iron Y copper D magnesium Y iron copper"
w,2020,22,27,11 Air and water,Aluminium is extracted from bauxite by electrolysis. Which statement is correct? Aluminium ions are oxidised to form aluminium. B The cathode has to be replaced regularly because it reacts with the oxygen which is formed. C Cryolite is added to remove impurities. D Carbon dioxide is produced at the anode.
w,2020,22,28,10 Metals,
w,2020,22,29,10 Metals,Water is treated at a waterworks to make it fit to drink. What is present in the water when it leaves the waterworks? bacteria only B bacteria and insoluble substances C chlorine compounds only D chlorine compounds and soluble substances
w,2020,22,30,10 Metals,"Sulfur dioxide, carbon monoxide and oxides of nitrogen are common gaseous pollutants found in the air. Which pollutants contribute to acid rain? carbon monoxide and sulfur dioxide B oxides of nitrogen and sulfur dioxide C oxides of nitrogen only D sulfur dioxide only"
w,2020,22,31,10 Metals,"Oxides of nitrogen, such as NO and NO2, are formed in the petrol engines of cars. They are removed from the exhaust gases by reactions in the car’s catalytic converter. Which row describes how oxides of nitrogen are formed in a petrol engine, and a reaction that happens in the catalytic converter? how oxides of nitrogen are formed a reaction that happens in the catalytic convertor A by the reaction between nitrogen and oxygen from the air 2NO + 2CO → N2 + 2CO2 B by the reaction between nitrogen and oxygen from the air 2NO + 2H2 → N2 + 2H2O C by the reaction between nitrogen compounds in petrol and oxygen from the air 2NO + 2CO → N2 + 2CO2 D by the reaction between nitrogen compounds in petrol and oxygen from the air 2NO + 2H2 → N2 + 2H2O"
w,2020,22,32,10 Metals,Zinc is used to cover iron to prevent it from rusting. Why is zinc a suitable metal to use? Iron is more reactive than zinc. B Iron atoms are bigger than zinc atoms. C Zinc is more reactive than iron. D Zinc atoms are bigger than iron atoms.
w,2020,22,33,12 Sulfur,Fertilisers are mixtures of different compounds used to increase the growth of crops. Which pair of substances contain the three essential elements for plant growth? ammonium nitrate and calcium phosphate B ammonium nitrate and potassium chloride C ammonium phosphate and potassium chloride D potassium nitrate and calcium carbonate
w,2020,22,34,13 Carbonates,Which row describes the conditions used in the manufacture of sulfuric acid by the Contact process? catalyst pressure temperature A iron high high B iron low low C vanadium(V) oxide high low D vanadium(V) oxide low high
w,2020,22,35,14 Organic chemistry,Petroleum is an important raw material that is separated into useful products. Which terms describe petroleum and the method used to separate it? description separation method A compound cracking B compound fractional distillation C mixture cracking D mixture fractional distillation
w,2020,22,36,14 Organic chemistry,
w,2020,22,37,14 Organic chemistry,Which row describes the production of ethanol and its properties? can be made from glucose can be made from ethene is used as a fuel is used as a solvent A     key B     = yes C     = no
w,2020,22,38,14 Organic chemistry,Ethanoic acid is a typical carboxylic acid. Which statement about ethanoic acid is correct? It can be oxidised to produce ethanol. B It is a proton acceptor. C It is fully dissociated in water. D It reacts with ethanol to produce ethyl ethanoate and water.
w,2020,22,39,14 Organic chemistry,"Which structure represents the ester made from ethanoic acid and propanol? H H C H H C H C O H C H H C H H C H H C H O C H C H O H H O
H C
H
H
C
H
H
C
H
H
C
H
H
C H
H
C O
B
HH O
H C
H
H
H 
C
H
C
H
H
C
H
C O H H O
H C
H
H
C
H
H
C
H"
w,2020,22,40,14 Organic chemistry,
w,2020,23,1,1 The particulate nature of matter,
w,2020,23,2,2 Experimental techniques,
w,2020,23,3,2 Experimental techniques,
w,2020,23,4,2 Experimental techniques,
w,2020,23,5,"3 Atoms, elements and compounds",
w,2020,23,6,"3 Atoms, elements and compounds",
w,2020,23,7,"3 Atoms, elements and compounds",
w,2020,23,8,"3 Atoms, elements and compounds",
w,2020,23,9,"3 Atoms, elements and compounds",
w,2020,23,10,"3 Atoms, elements and compounds",
w,2020,23,11,4 Stoichiometry,
w,2020,23,12,4 Stoichiometry,
w,2020,23,13,4 Stoichiometry,
w,2020,23,14,5 Electricity and chemistry,
w,2020,23,15,6 Chemical energetics,
w,2020,23,17,6 Chemical energetics,
w,2020,23,18,7 Chemical reactions,
w,2020,23,19,7 Chemical reactions,
w,2020,23,20,7 Chemical reactions,
w,2020,23,21,7 Chemical reactions,
w,2020,23,22,"8 Acids, bases and salts",
w,2020,23,23,"8 Acids, bases and salts",
w,2020,23,24,7 Chemical reactions,
w,2020,23,25,9 The Periodic Table,
w,2020,23,26,9 The Periodic Table,
w,2020,23,27,11 Air and water,
w,2020,23,28,10 Metals,
w,2020,23,29,10 Metals,
w,2020,23,30,10 Metals,
w,2020,23,31,10 Metals,
w,2020,23,32,10 Metals,
w,2020,23,33,12 Sulfur,
w,2020,23,34,13 Carbonates,
w,2020,23,35,14 Organic chemistry,
w,2020,23,36,14 Organic chemistry,
w,2020,23,37,14 Organic chemistry,
w,2020,23,38,14 Organic chemistry,
w,2020,23,39,14 Organic chemistry,
w,2020,23,40,14 Organic chemistry,
m,2021,22,1,14 Organic chemistry,
m,2021,22,2,2 Experimental techniques,
m,2021,22,3,2 Experimental techniques,
m,2021,22,4,"3 Atoms, elements and compounds",
m,2021,22,5,"3 Atoms, elements and compounds",
m,2021,22,6,"3 Atoms, elements and compounds",
m,2021,22,9,4 Stoichiometry,
m,2021,22,10,5 Electricity and chemistry,
m,2021,22,11,5 Electricity and chemistry,
m,2021,22,12,6 Chemical energetics,
m,2021,22,13,6 Chemical energetics,
m,2021,22,14,7 Chemical reactions,
m,2021,22,15,7 Chemical reactions,
m,2021,22,16,7 Chemical reactions,
m,2021,22,17,7 Chemical reactions,
m,2021,22,18,"8 Acids, bases and salts",
m,2021,22,19,"8 Acids, bases and salts",
m,2021,22,20,"8 Acids, bases and salts",
m,2021,22,21,"8 Acids, bases and salts",
m,2021,22,22,9 The Periodic Table,
m,2021,22,23,9 The Periodic Table,
m,2021,22,24,9 The Periodic Table,
m,2021,22,25,9 The Periodic Table,
m,2021,22,26,10 Metals,
m,2021,22,27,10 Metals,
m,2021,22,28,10 Metals,
m,2021,22,29,11 Air and water,
m,2021,22,30,11 Air and water,
m,2021,22,31,11 Air and water,
m,2021,22,32,10 Metals,
m,2021,22,33,11 Air and water,
m,2021,22,34,12 Sulfur,
m,2021,22,35,14 Organic chemistry,
m,2021,22,36,14 Organic chemistry,
m,2021,22,37,14 Organic chemistry,
m,2021,22,38,14 Organic chemistry,
m,2021,22,39,14 Organic chemistry,
m,2021,22,40,14 Organic chemistry,
s,2021,21,1,1 The particulate nature of matter,
s,2021,21,2,2 Experimental techniques,
s,2021,21,3,"3 Atoms, elements and compounds",
s,2021,21,4,"3 Atoms, elements and compounds",
s,2021,21,5,"3 Atoms, elements and compounds",
s,2021,21,6,"3 Atoms, elements and compounds",
s,2021,21,7,"3 Atoms, elements and compounds",
s,2021,21,8,4 Stoichiometry,
s,2021,21,9,4 Stoichiometry,
s,2021,21,10,6 Chemical energetics,
s,2021,21,11,6 Chemical energetics,
s,2021,21,12,6 Chemical energetics,
s,2021,21,13,7 Chemical reactions,
s,2021,21,14,7 Chemical reactions,
s,2021,21,15,7 Chemical reactions,
s,2021,21,16,7 Chemical reactions,
s,2021,21,17,7 Chemical reactions,
s,2021,21,18,"8 Acids, bases and salts",
s,2021,21,19,"8 Acids, bases and salts",
s,2021,21,21,"8 Acids, bases and salts",
s,2021,21,22,10 Metals,
s,2021,21,23,10 Metals,
s,2021,21,24,11 Air and water,
s,2021,21,25,10 Metals,
s,2021,21,27,10 Metals,
s,2021,21,28,10 Metals,
s,2021,21,29,11 Air and water,
s,2021,21,30,11 Air and water,
s,2021,21,31,11 Air and water,
s,2021,21,32,11 Air and water,
s,2021,21,33,13 Carbonates,
s,2021,21,34,12 Sulfur,
s,2021,21,35,14 Organic chemistry,
s,2021,21,36,14 Organic chemistry,
s,2021,21,37,14 Organic chemistry,
s,2021,21,38,14 Organic chemistry,
s,2021,21,39,14 Organic chemistry,
s,2021,21,40,14 Organic chemistry,
s,2021,22,1,1 The particulate nature of matter,
s,2021,22,2,2 Experimental techniques,
s,2021,22,3,2 Experimental techniques,
s,2021,22,4,"3 Atoms, elements and compounds",
s,2021,22,5,"3 Atoms, elements and compounds",
s,2021,22,6,"3 Atoms, elements and compounds",
s,2021,22,7,"3 Atoms, elements and compounds",
s,2021,22,8,"3 Atoms, elements and compounds",
s,2021,22,9,4 Stoichiometry,
s,2021,22,10,5 Electricity and chemistry,
s,2021,22,11,5 Electricity and chemistry,
s,2021,22,12,6 Chemical energetics,
s,2021,22,13,6 Chemical energetics,
s,2021,22,14,7 Chemical reactions,
s,2021,22,15,7 Chemical reactions,
s,2021,22,16,7 Chemical reactions,
s,2021,22,17,7 Chemical reactions,
s,2021,22,18,"8 Acids, bases and salts",
s,2021,22,19,"8 Acids, bases and salts",
s,2021,22,20,"8 Acids, bases and salts",
s,2021,22,21,"8 Acids, bases and salts",
s,2021,22,22,9 The Periodic Table,
s,2021,22,23,9 The Periodic Table,
s,2021,22,24,9 The Periodic Table,
s,2021,22,25,10 Metals,
s,2021,22,26,10 Metals,
s,2021,22,27,10 Metals,
s,2021,22,28,10 Metals,
s,2021,22,29,11 Air and water,
s,2021,22,30,11 Air and water,
s,2021,22,31,11 Air and water,
s,2021,22,32,11 Air and water,
s,2021,22,33,13 Carbonates,
s,2021,22,34,12 Sulfur,
s,2021,22,35,14 Organic chemistry,
s,2021,22,36,14 Organic chemistry,
s,2021,22,37,14 Organic chemistry,
s,2021,22,38,14 Organic chemistry,
s,2021,22,39,14 Organic chemistry,
s,2021,22,40,14 Organic chemistry,
s,2021,23,1,1 The particulate nature of matter,
s,2021,23,2,2 Experimental techniques,
s,2021,23,3,2 Experimental techniques,
s,2021,23,4,"3 Atoms, elements and compounds",
s,2021,23,5,"3 Atoms, elements and compounds",
s,2021,23,6,"3 Atoms, elements and compounds",
s,2021,23,7,"3 Atoms, elements and compounds",
s,2021,23,8,"3 Atoms, elements and compounds",
s,2021,23,9,4 Stoichiometry,
s,2021,23,10,5 Electricity and chemistry,
s,2021,23,11,5 Electricity and chemistry,
s,2021,23,12,6 Chemical energetics,
s,2021,23,13,6 Chemical energetics,
s,2021,23,14,7 Chemical reactions,
s,2021,23,15,7 Chemical reactions,
s,2021,23,16,7 Chemical reactions,
s,2021,23,17,7 Chemical reactions,
s,2021,23,18,"8 Acids, bases and salts",
s,2021,23,19,"8 Acids, bases and salts",
s,2021,23,20,"8 Acids, bases and salts",
s,2021,23,21,"8 Acids, bases and salts",
s,2021,23,22,9 The Periodic Table,
s,2021,23,23,9 The Periodic Table,
s,2021,23,24,9 The Periodic Table,
s,2021,23,25,10 Metals,
s,2021,23,26,10 Metals,
s,2021,23,27,10 Metals,
s,2021,23,28,10 Metals,
s,2021,23,29,11 Air and water,
s,2021,23,30,11 Air and water,
s,2021,23,31,11 Air and water,
s,2021,23,32,11 Air and water,
s,2021,23,33,13 Carbonates,
s,2021,23,34,12 Sulfur,
s,2021,23,35,14 Organic chemistry,
s,2021,23,36,14 Organic chemistry,
s,2021,23,37,14 Organic chemistry,
s,2021,23,38,14 Organic chemistry,
s,2021,23,39,14 Organic chemistry,
s,2021,23,40,14 Organic chemistry,
w,2021,21,1,1 The particulate nature of matter,
w,2021,21,2,2 Experimental techniques,
w,2021,21,3,2 Experimental techniques,
w,2021,21,4,2 Experimental techniques,
w,2021,21,5,"3 Atoms, elements and compounds",
w,2021,21,6,"3 Atoms, elements and compounds",
w,2021,21,7,"3 Atoms, elements and compounds",
w,2021,21,8,"3 Atoms, elements and compounds",
w,2021,21,9,"3 Atoms, elements and compounds",
w,2021,21,10,"3 Atoms, elements and compounds",
w,2021,21,11,4 Stoichiometry,
w,2021,21,12,4 Stoichiometry,
w,2021,21,13,4 Stoichiometry,
w,2021,21,14,5 Electricity and chemistry,
w,2021,21,15,6 Chemical energetics,
w,2021,21,17,6 Chemical energetics,
w,2021,21,18,7 Chemical reactions,
w,2021,21,19,7 Chemical reactions,
w,2021,21,20,7 Chemical reactions,
w,2021,21,21,7 Chemical reactions,
w,2021,21,22,"8 Acids, bases and salts",
w,2021,21,23,"8 Acids, bases and salts",
w,2021,21,24,7 Chemical reactions,
w,2021,21,25,9 The Periodic Table,
w,2021,21,26,9 The Periodic Table,
w,2021,21,27,11 Air and water,
w,2021,21,28,10 Metals,
w,2021,21,29,10 Metals,
w,2021,21,30,10 Metals,
w,2021,21,31,10 Metals,
w,2021,21,32,10 Metals,
w,2021,21,33,12 Sulfur,
w,2021,21,34,13 Carbonates,
w,2021,21,35,14 Organic chemistry,
w,2021,21,36,14 Organic chemistry,
w,2021,21,37,14 Organic chemistry,
w,2021,21,38,14 Organic chemistry,
w,2021,21,39,14 Organic chemistry,
w,2021,21,40,14 Organic chemistry,
w,2021,22,1,1 The particulate nature of matter,
w,2021,22,2,2 Experimental techniques,
w,2021,22,3,2 Experimental techniques,
w,2021,22,4,2 Experimental techniques,
w,2021,22,5,"3 Atoms, elements and compounds",
w,2021,22,6,"3 Atoms, elements and compounds",
w,2021,22,7,"3 Atoms, elements and compounds",
w,2021,22,8,"3 Atoms, elements and compounds",
w,2021,22,9,"3 Atoms, elements and compounds",
w,2021,22,10,"3 Atoms, elements and compounds",
w,2021,22,11,4 Stoichiometry,
w,2021,22,12,4 Stoichiometry,
w,2021,22,13,4 Stoichiometry,
w,2021,22,14,5 Electricity and chemistry,
w,2021,22,15,6 Chemical energetics,
w,2021,22,17,6 Chemical energetics,
w,2021,22,18,7 Chemical reactions,
w,2021,22,19,7 Chemical reactions,
w,2021,22,20,7 Chemical reactions,
w,2021,22,21,7 Chemical reactions,
w,2021,22,22,"8 Acids, bases and salts",
w,2021,22,23,"8 Acids, bases and salts",
w,2021,22,24,7 Chemical reactions,
w,2021,22,25,9 The Periodic Table,
w,2021,22,26,9 The Periodic Table,
w,2021,22,27,11 Air and water,
w,2021,22,28,10 Metals,
w,2021,22,29,10 Metals,
w,2021,22,30,10 Metals,
w,2021,22,31,10 Metals,
w,2021,22,32,10 Metals,
w,2021,22,33,12 Sulfur,
w,2021,22,34,13 Carbonates,
w,2021,22,35,14 Organic chemistry,
w,2021,22,36,14 Organic chemistry,
w,2021,22,37,14 Organic chemistry,
w,2021,22,38,14 Organic chemistry,
w,2021,22,39,14 Organic chemistry,
w,2021,22,40,14 Organic chemistry,
w,2021,23,1,1 The particulate nature of matter,
w,2021,23,2,2 Experimental techniques,
w,2021,23,3,2 Experimental techniques,
w,2021,23,4,2 Experimental techniques,
w,2021,23,5,"3 Atoms, elements and compounds",
w,2021,23,6,"3 Atoms, elements and compounds",
w,2021,23,7,"3 Atoms, elements and compounds",
w,2021,23,8,"3 Atoms, elements and compounds",
w,2021,23,9,"3 Atoms, elements and compounds",
w,2021,23,10,"3 Atoms, elements and compounds",
w,2021,23,11,4 Stoichiometry,
w,2021,23,12,4 Stoichiometry,
w,2021,23,13,4 Stoichiometry,
w,2021,23,14,5 Electricity and chemistry,
w,2021,23,15,6 Chemical energetics,
w,2021,23,17,6 Chemical energetics,
w,2021,23,18,7 Chemical reactions,
w,2021,23,19,7 Chemical reactions,
w,2021,23,20,7 Chemical reactions,
w,2021,23,21,7 Chemical reactions,
w,2021,23,22,"8 Acids, bases and salts",
w,2021,23,23,"8 Acids, bases and salts",
w,2021,23,24,7 Chemical reactions,
w,2021,23,25,9 The Periodic Table,
w,2021,23,26,9 The Periodic Table,
w,2021,23,27,11 Air and water,
w,2021,23,28,10 Metals,
w,2021,23,29,10 Metals,
w,2021,23,30,10 Metals,
w,2021,23,31,10 Metals,
w,2021,23,32,10 Metals,
w,2021,23,33,12 Sulfur,
w,2021,23,34,13 Carbonates,
w,2021,23,35,14 Organic chemistry,
w,2021,23,36,14 Organic chemistry,
w,2021,23,37,14 Organic chemistry,
w,2021,23,38,14 Organic chemistry,
w,2021,23,39,14 Organic chemistry,
w,2021,23,40,14 Organic chemistry,
